STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County
Elite International Market 1,-104.84562,39.674938,12203 E Iliff Ave,Ste F,Aurora,CO,80014,5314,ARAPAHOE 
Barn Store,-104.64443,40.073193,540 Main St,,Hudson,CO,80642,5010,WELD 
7 ELEVEN 37135A,-104.68561,38.928722,6495 Issaquah Dr,,Colorado Springs,CO,80922,,EL PASO 
Pioneer Palace Llc,-105.18811,38.747311,427 West Carr Avenue,,Cripple Creek,CO,80813,,TELLER 
7 ELEVEN 37562A,-105.09898,39.908844,8900 Metro Airport Ave,,Broomfield,CO,80021,2515,JEFFERSON 
Kum & Go 305,-104.69089,40.384895,3033 8th Ave,,Evans,CO,80620,1203,WELD 
Dollar Tree 7003,-104.69774,38.718113,6955 Mesa Ridge Pkwy,,Fountain,CO,80817,1504,EL PASO 
Green Bazaar,-104.75446,39.61314,5698 S Himalaya St,Unit B,Aurora,CO,80015,5314,ARAPAHOE 
The Creede Farmers Market,-106.92704,37.852673,23 South Main,,Creede,CO,81130,,MINERAL 
Byers General Store,-104.21954,39.718975,568 US Highway 36,,Byers,CO,80103,9700,ARAPAHOE 
Gulzar Food Market Inc,-104.86763,39.674809,10315 E Iliff Ave,,Aurora,CO,80247,3622,ARAPAHOE 
7 Eleven 13087J,-104.76775,38.794479,2555 Delta Dr,,Colorado Springs,CO,80910,1219,EL PASO 
Colfax Food And Gas,-104.9651,39.740028,1895 E Colfax Ave,,Denver,CO,80218,2604,DENVER 
"Elevation Meat Market, Llc",-105.4686,38.13554,101 S 2nd St,,Westcliffe,CO,81252,9547,CUSTER 
Osito Orchard,-107.78152,38.823521,11550 3100 Rd,,Hotchkiss,CO,81419,6102,DELTA 
Downtown Grand Junction Farmers Market,-108.55647,39.06731,3rd-7th Main Street,,Grand Junction,CO,81501,,MESA 
Roan Creek Ranch Grocery,-108.73301,39.15892,119 E Aspen Ave,,Fruita,CO,81521,2543,MESA 
Fruita Farmers Market,-108.73102,39.158924,325 E. Aspen Ave.,,Fruita,CO,81521,,MESA 
Tierra Vida Farm Llc,-107.75684,37.238667,385 County Road 225,,Durango,CO,81301,8282,LA PLATA 
Gunnison Gardens,-106.94104,38.537994,600 W Highway 50,,Gunnison,CO,81230,3907,GUNNISON 
The Wily Carrot,-108.28912,37.321583,7601 Road 41,,Mancos,CO,81328,7907,MONTEZUMA 
Mountain Roots Produce Llc,-108.29721,37.312458,41095 Road G,,Mancos,CO,81328,8928,MONTEZUMA 
Fort Lewis College-Old Fort Farm Stand,-107.86733,37.274998,1000 Rim Drive,Student Union Plaza,Durango,CO,81301,,LA PLATA 
40 West Farmers' Market,-105.07146,39.740421,6759 W Colfax Ave,,Lakewood,CO,80214,1807,JEFFERSON 
Raisin Roots Farm,-105.11879,40.596523,2229 W Vine Dr,,Fort Collins,CO,80521,1508,LARIMER 
Berthoud Local Farmers Market,-105.08278,40.305164,620 Mountain Ave,,Berthoud,CO,80513,,LARIMER 
Windsor Farmers Market,-104.90399,40.48122,111 5th St,,Windsor,CO,80550,5107,WELD 
"Amul, Llc",-103.20181,40.633152,230 Broadway St,,Sterling,CO,80751,,LOGAN 
7 ELEVEN 35715B,-104.773,39.972168,3876 E Bromley Ln,,Brighton,CO,80601,3451,ADAMS 
El Toro Bravo,-104.72561,40.377617,2911 37th St,,Evans,CO,80620,8780,WELD 
7 ELEVEN 25052B,-105.02505,39.700611,890 S Federal Blvd,,Denver,CO,80219,3413,DENVER 
7 ELEVEN 37731A,-105.02517,39.812901,6400 Federal Blvd,,Denver,CO,80221,2318,ADAMS 
Carniceria Los Corrales,-105.00803,39.696712,1770 W Mississippi Ave,,Denver,CO,80223,3013,DENVER 
Kum & Go 659,-104.74529,38.971508,9665 Prominent Pt,,Colorado Springs,CO,80924,5000,EL PASO 
Family Dollar 10671,-104.94022,39.874783,10630 Colorado Blvd,,Thornton,CO,80229,,ADAMS 
Save A Lot 43425,-104.75696,38.880531,3333 N Academy Blvd,,Colorado Springs,CO,80917,5103,EL PASO 
UNITED PACIFIC 6516,-104.91272,39.67812,2100 S Monaco Pkwy,,Denver,CO,80222,5812,DENVER 
7 ELEVEN 32810B,-104.84692,39.778481,4500 Peoria St,,Denver,CO,80239,4804,DENVER 
7 ELEVEN 17134B,-105.10073,39.710995,9200 W Alameda Ave,,Lakewood,CO,80226,2829,JEFFERSON 
Sub & Sam,-105.10324,39.77813,9491 W 44th Ave,Ste 108,Wheat Ridge,CO,80033,2900,JEFFERSON 
UNITED PACIFIC 746,-105.16102,39.812607,14405 W 64th Ave,,Arvada,CO,80004,3510,JEFFERSON 
UNITED PACIFIC 6505,-105.25857,40.036041,3375 28th St,,Boulder,CO,80301,1410,BOULDER 
UNITED PACIFIC 6510,-105.25838,40.029682,3000 28th St,,Boulder,CO,80301,1314,BOULDER 
UNITED PACIFIC 6524,-105.13794,39.812313,6393 Ward Rd,,Arvada,CO,80004,3819,JEFFERSON 
UNITED PACIFIC 6529,-105.16359,39.968803,191 McCaslin Blvd,,Superior,CO,80027,,BOULDER 
UNITED PACIFIC 6552,-105.14462,39.761898,12851 W 32nd Ave,,Wheat Ridge,CO,80401,5403,JEFFERSON 
UNITED PACIFIC 6491,-104.94022,39.897919,11090 Colorado Blvd,,DENVER,CO,80233,3704,ADAMS 
UNITED PACIFIC 6515,-104.99295,39.913811,500 W 120th Ave,,Northglenn,CO,80234,2704,ADAMS 
UNITED PACIFIC 6517,-105.02528,39.783558,4785 Federal Blvd,,Denver,CO,80211,1129,DENVER 
UNITED PACIFIC 6521,-104.98949,39.885124,160 W 104th Ave,,Northglenn,CO,80234,4102,ADAMS 
UNITED PACIFIC 6533,-104.9784,39.914188,691 E 120th Ave,,Thornton,CO,80233,5708,ADAMS 
UNITED PACIFIC 6499,-104.94082,39.740768,1501 Colorado Blvd,,Denver,CO,80220,1053,DENVER 
UNITED PACIFIC 6549,-104.80958,39.610809,15371 E Orchard Rd,,Centennial,CO,80015,4292,ARAPAHOE 
Gofarm,-105.21043,39.727901,760 Warner Dr,,Golden,CO,80401,5297,JEFFERSON 
Panaderia Sabor A Mexico,-105.25843,40.02832,2839 28th St,,Boulder,CO,80301,1223,BOULDER 
My India's,-105.09187,39.92918,1000 Depot Hill Rd,,Broomfield,CO,80020,6719,BROOMFIELD 
Sharistan 1,-104.98737,39.829277,7310 Broadway,,Denver,CO,80221,3610,ADAMS 
7 ELEVEN 16593B,-105.01773,39.769253,2500 W 38th Ave,,Denver,CO,80211,2102,DENVER 
Kali Devi Inc,-105.05325,39.738811,1401 Sheridan Blvd,,Lakewood,CO,80214,2250,JEFFERSON 
Papa Murphy's Take & Bake Pizza CO 060,-104.94087,40.160645,6050 Firestone Blvd,Unit 204,Firestone,CO,80504,5835,WELD 
Papa Murphy's Take 'n' Bake Pizza CO 008,-104.84615,39.696533,12158 E Mississippi Ave,,Aurora,CO,80012,3454,ARAPAHOE 
Papa Murphy Take 'n' Bake Pizza PM 030,-104.94341,39.884777,3782 E 104th Ave,,Thornton,CO,80233,4434,ADAMS 
Papa Murphy Take 'n' Bake Pizza CO 064,-105.05328,39.745373,1725 Sheridan Blvd,Unit C,Edgewater,CO,80214,1303,JEFFERSON 
Papa Murphy Take 'n' Bake Pizza CO 105,-104.94038,39.944252,13691 Colorado Blvd,Ste 103,Thornton,CO,80602,7068,ADAMS 
Papa Murphy Take 'n' Bake Pizza CO 106,-104.79095,39.695671,1180 S Buckley Rd,Unit C,Aurora,CO,80017,5149,ARAPAHOE 
Papa Murphy Take 'n' Bake Pizza CO 123,-105.08141,39.717583,98 Wadsworth Blvd,Unit 129,Lakewood,CO,80226,,JEFFERSON 
Papa Murphy's Take & Bake Pizza CO 090,-105.01366,39.943237,2205 W 136th Ave,Ste 118,Broomfield,CO,80023,9306,BROOMFIELD 
Palisade Dino Mart,-108.35343,39.106064,309 W Eighth St,,Palisade,CO,81526,8807,MESA 
Vitamin Cottage Natural Food Market U012,-105.26002,40.022079,2685 Pearl St,,Boulder,CO,80302,3820,BOULDER 
7- Eleven 39768,-104.84757,39.740238,12085 E Colfax Ave,,Aurora,CO,80010,2819,ARAPAHOE 
Ben Thanh Asian Market,-105.02512,39.698421,1001 S Federal Blvd,,Denver,CO,80219,4101,DENVER 
Mancos Farmers' Market 1,-108.28838,37.346184,1 Park Street,Boyle Park,Mancos,CO,81328,,MONTEZUMA 
7 ELEVEN 34210C,-104.97549,40.161625,11099 E I25 Frontage Rd,,Firestone,CO,80504,9565,WELD 
Sheger Store 1,-104.91081,39.740067,6622 E Colfax Ave,,Denver,CO,80220,1702,DENVER 
Centaur Food And Fuel 1208,-105.10774,39.986832,1208 Centaur Village Dr,,Lafayette,CO,80026,1465,BOULDER 
International Grocery Mart Llc,-104.87599,39.740082,9620 E Colfax Ave,,Aurora,CO,80010,5010,ARAPAHOE 
7 ELEVEN 22613B,-104.87035,38.851933,3004 W Colorado Ave,,Colorado Springs,CO,80904,2147,EL PASO 
Papa Murphy's CO076,-105.06335,40.407242,986 E Eisenhower Blvd,,Loveland,CO,80537,3922,LARIMER 
Dollar Tree 7158,-104.84719,39.727604,738A Peoria St,,Aurora,CO,80011,8231,ARAPAHOE 
King Soopers 125,-104.88041,39.416046,5544 Promenade Pkwy,,Castle Rock,CO,80108,1903,DOUGLAS 
Coyote Market,-104.46571,39.346588,313 Comanche St.,,Kiowa,CO,80117,,ELBERT 
Papa Murphy's Take And Bake Pizza CO004,-105.10246,40.20039,2330 Main St,,Longmont,CO,80501,1174,BOULDER 
Kwik Stop,-104.74805,38.838181,425 N Murray Blvd,,Colorado Springs,CO,80916,1029,EL PASO 
Papa Murphy's Take And Bake Pizza CO091,-105.13084,40.151192,965 S Hover St,Unit B,Longmont,CO,80501,7916,BOULDER 
Papa Murphy's Take & Bake Pizza CO 001,-108.45922,39.084221,569 32 Rd,Ste 6,Grand Junction,CO,81504,6095,MESA 
Papa Murphy's Take & Bake Pizza CO 018,-108.5818,39.078327,2546 Rimrock Ave,Ste 200b,Grand Junction,CO,81505,8666,MESA 
Shop N Save,-104.90334,39.826942,7191 Quebec St,,Commerce City,CO,80022,2259,ADAMS 
Carlie's Convenience,-104.82348,38.834095,3 N Tejon St,,Colorado Springs,CO,80903,1507,EL PASO 
ALTA 6301,-106.00746,38.524197,310 RAINBOW BLVD,,SALIDA,CO,81201,,CHAFFEE 
ALTA 6311,-108.55231,39.084831,1904 N 12th St,,Grand Junction,CO,81501,2912,MESA 
ALTA 6312,-108.57066,39.070324,107 Grand Ave,,Grand Junction,CO,81501,2243,MESA 
ALTA 6315,-108.54234,39.109192,722 Horizon Dr,,Grand Junction,CO,81506,3907,MESA 
ALTA 6316,-108.6406,39.081745,2219 Broadway,,Grand Junction,CO,81507,4006,MESA 
ALTA 6317,-108.73943,39.153439,555 Raptor Rd,,Fruita,CO,81521,8501,MESA 
ALTA 6318,-107.36026,39.561588,51171 Highway 6,,Glenwood Springs,CO,81601,2541,GARFIELD 
Papa Murphy's Pizza Of Sterling CO071,-103.22186,40.625278,712 W Main St,,Sterling,CO,80751,2922,LOGAN 
Guled Grocery Store,-103.79988,40.249825,214 E Kiowa Ave,,Fort Morgan,CO,80701,3110,MORGAN 
Pilot Travel Center 619,-104.79434,39.761929,16751 E 32nd Ave,,Aurora,CO,80011,1520,ARAPAHOE 
Pilot Travel Center 621,-103.70756,39.276073,2495 Williams Ave,,Limon,CO,80828,9334,LINCOLN 
Sinclair Baxter Rd,-104.49667,38.274448,108 Baxter Rd,,Pueblo,CO,81006,9510,PUEBLO 
Carniceria Y Panaderia Mexico,-104.77363,40.285217,905 Railroad St,,Gilcrest,CO,80623,,WELD 
Family Dollar 11573,-104.8471,39.738529,1395 Peoria St,,Aurora,CO,80011,6208,ARAPAHOE 
Friends N' Amigos Market,-104.8702,39.747353,10100 Montview Blvd,,Aurora,CO,80010,2231,ARAPAHOE 
Kum & Go 687,-104.73872,38.840645,525 Wooten Rd,,Colorado Springs,CO,80924,,EL PASO 
Manitou Community Market,-104.91953,38.859257,1000 Manitou Ave,,Manitou Springs,CO,80829,,EL PASO 
Papa Murphy's Take-n-bake Pizza CO129,-103.79322,40.254013,625 E Platte Ave,,Fort Morgan,CO,80701,3338,MORGAN 
Sprouts Farmers Market 332,-104.72318,38.894226,5617 Barnes Rd,,Colorado Springs,CO,80917,,EL PASO 
Ridgway Farmer's Market,-107.75478,38.152485,201 Railroad St.,Hartwell Park,Ridgway,CO,81432,2118,OURAY 
7 ELEVEN 35995B,-104.96844,39.678463,1600 E Evans Ave,,Denver,CO,80210,4609,DENVER 
Binayak Food & Gas,-104.76357,39.740288,19275 E Colfax Ave,,Aurora,CO,80011,6121,ARAPAHOE 
Vitamin Cottage Natural Food Market U140,-104.98756,39.709915,368 S Broadway,,Denver,CO,80209,1512,DENVER 
Good 2 Go Store 710,-108.59911,37.340698,717 S Broadway,,Cortez,CO,81321,4008,MONTEZUMA 
Good 2 Go Store 711,-108.58973,37.348606,302 W Main St,,Cortez,CO,81321,3139,MONTEZUMA 
7 ELEVEN 24165B,-105.02514,39.863762,9201 Federal Blvd,,Denver,CO,80260,7429,ADAMS 
CVS 10785,-104.79282,39.533768,16920 Lincoln Ave,,Parker,CO,80134,9102,DOUGLAS 
Lowry Grocery Store,-104.87531,39.725235,586 Dayton St,,Aurora,CO,80010,4203,ARAPAHOE 
Pilot Travel Center 592,-108.64803,39.113064,2195 Highway 6 And 50,,Grand Junction,CO,81505,9421,MESA 
King Soopers 123,-104.86775,39.759972,10406 E Martin Luther King Jr Blvd,,Denver,CO,80238,,DENVER 
7 ELEVEN 39834A,-104.90171,39.564926,7505 Parkway Dr,,Lone Tree,CO,80124,2536,DOUGLAS 
Stuart Convenience Store,-105.0966,40.563633,1005 W Stuart St,Ste A4,Fort Collins,CO,80526,5620,LARIMER 
7 ELEVEN 34504B,-104.72478,39.581657,7451 S Gartrell Rd,,Aurora,CO,80016,4287,ARAPAHOE 
The Kit Carson Market,-102.79194,38.763927,206 Main,,Kit Carson,CO,80825,314,CHEYENNE 
7 ELEVEN 38084A,-105.08143,39.768692,3790 Wadsworth Blvd,,Wheat Ridge,CO,80033,4611,JEFFERSON 
Carniceria Y Abarrotes Chihuas Llc,-104.80794,39.986797,1135 E Bridge St,,Brighton,CO,80601,2232,ADAMS 
7 ELEVEN 39773A,-104.98418,39.766251,3083 Brighton Blvd,,Denver,CO,80216,5014,DENVER 
